demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,0.5,0.5,0.352241802,0.66793169,0.958593315,2.911900584,4.338274223,6.561994626,8.45441738,10.59532421,13.11957206,16.51071066,22.02795511
1,1.5,0.5,0.325939881,0.591964358,0.862652014,2.589067818,4.196033911,5.745550931,8.75319538,11.12699493,12.02009087,18.84628725,18.26939125
2,2.5,0.5,0.373752338,0.591889904,0.969733146,2.641431973,3.54177234,5.469160784,8.414626659,10.1153355,14.01825375,16.04262365,21.74260319
3,3.5,0.5,0.420686176,0.584054666,0.906546922,2.378576695,3.888120659,5.846089062,9.083868224,12.42488525,15.01230212,19.9857806,24.26696786
4,4.5,0.5,0.475620673,0.647939916,0.981544374,2.665399846,4.218710639,6.776609011,8.851107179,11.73113117,16.35556305,18.73084623,27.51795986
5,5.5,0.5,0.380156361,0.725188536,1.076053652,2.762617522,4.220746763,6.76039472,9.331196288,14.74394288,17.55999775,25.04435037,30.17235254
6,6.5,0.5,0.449348169,0.730465981,1.220483948,2.655186878,5.333593674,8.620496136,11.40675076,13.11585432,19.69641532,19.59715979,31.11120246
7,7.5,0.5,0.470070737,0.866473821,1.61545414,3.27306147,5.442867125,8.681283578,11.13535202,14.70827172,19.3674175,24.37902623,31.02857402
8,8.5,0.5,0.537306704,0.833661222,1.622690964,3.366533384,5.973267186,10.03318312,13.21056701,17.29162633,21.89984749,29.5610056,36.43974298
9,9.5,0.5,0.44573437,0.775279077,1.316209059,3.79585793,4.7813606,9.277640018,10.99247855,17.38620975,21.7652413,29.72005461,38.20903376
10,10.5,0.5,0.450974189,0.801137905,1.809061268,3.864235562,6.008674739,9.578958115,12.60936621,21.93132932,22.60469282,37.26254404,39.70631607
11,11.5,0.5,0.450947509,0.878252983,1.613145849,3.843269794,6.07380522,8.801256833,13.46538748,20.38823828,23.91958153,34.90217997,41.38806422
12,12.5,0.5,0.488245285,0.979895296,1.660270447,3.886465244,5.951297848,10.20636981,12.50140819,18.25641492,19.5943465,35.08435607,37.38166793
13,13.5,0.5,0.399943833,0.771696867,1.415207126,4.131216576,4.932294644,8.543593606,13.15649304,19.4112426,21.43891059,32.53626727,43.78418237
14,14.5,0.5,0.414848127,0.793404324,1.173509246,2.42545208,5.334341747,7.514479515,12.64171378,15.19677284,20.46925607,30.21106592,38.64555384
15,15.5,0.5,0.487663756,0.980086934,1.477986056,3.687864877,5.448199801,9.801252697,11.58853891,17.09800786,22.48346487,32.29870768,39.66816658
16,16.5,0.5,0.52298331,0.87316538,1.698496253,3.748874625,6.006351706,9.660881106,12.93213484,16.29928758,23.0403483,28.48106636,36.02388194
17,17.5,0.5,0.418989025,0.959032971,1.549865427,3.623470735,5.672570034,9.322510111,12.12063217,15.95290833,22.27497259,26.70697881,35.89828649
18,18.5,0.5,0.375079742,0.758787551,1.425746092,3.955870629,6.019918999,8.542997095,11.5141676,17.83559755,20.11752876,27.94886581,37.98459531
19,19.5,0.5,0.339077223,0.742505802,1.277926858,3.735419776,5.409353015,8.33480344,11.29744581,16.62036866,18.32820647,29.22893059,31.46795427
20,20.5,0.5,0.316241496,0.75055346,1.292959979,3.835199214,5.356258251,8.968361299,10.37517518,19.29365361,19.86947585,36.34797113,35.03578882
21,21.5,0.5,0.395089958,0.714790282,1.256789538,2.826873057,4.994441796,8.83465444,12.18695238,20.01646466,18.87292237,36.05071016,27.48282943
22,22.5,0.5,0.392275475,0.806206246,1.369266077,3.071203843,5.152478844,9.107686502,12.32118686,19.50680423,22.01370652,34.81456474,40.09439101
23,23.5,0.5,0.390261727,0.785290086,1.102849196,3.082459405,5.913194098,9.690663727,12.62005451,20.47863753,21.78239717,36.14059153,38.70028633
24,24.5,0.5,0.417676299,0.689809909,1.064510406,2.852297655,5.375611487,9.20354949,12.9703585,16.7897502,21.23460355,27.7744563,35.23479631
25,25.5,0.5,0.366313205,0.745926323,1.26088965,2.906768817,5.425634014,8.796074889,11.98329814,18.60261519,17.69654542,31.87438366,25.83104875
26,26.5,0.5,0.454909859,0.833537131,1.162364508,3.121028733,5.089766491,7.353152111,9.970982251,15.08258913,18.3155054,26.9473548,29.39622237
